grant_number;year;research_area;research_institution_type;has_collab_switzerland;has_collab_europe;has_collab_north_am;has_collab_asia;has_collab_latin_am;has_collab_oceania;has_collab_africa
172008;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172012;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172013;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172016;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172025;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172054;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172060;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172075;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172078;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172079;2017;Humanities and Social Sciences;Other;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172100;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172108;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172115;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172130;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172141;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172202;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172268;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172282;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172297;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172315;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172332;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172338;2017;Humanities and Social Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172379;2017;Humanities and Social Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172427;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172472;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE
172474;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172475;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
172476;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172478;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172479;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172480;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172481;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
172483;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172485;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172486;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172487;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172488;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172492;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172493;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE
172497;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172498;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172500;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172503;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172505;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172506;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172507;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172508;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172511;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172512;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172513;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172514;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
172515;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172516;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
172517;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172519;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172520;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
172521;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172522;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
172523;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172524;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172525;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172527;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172529;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172532;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172533;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
172535;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172536;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172538;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172543;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172545;2017;Mathematics, Natural- and Engineering Sciences;ETH Domain;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172549;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
172550;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172551;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172553;2017;Mathematics, Natural- and Engineering Sciences;Cantonal university;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
172554;2017;Humanities and Social Sciences;University of applied sciences;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172555;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172556;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172558;2017;Humanities and Social Sciences;ETH Domain;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172559;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172563;2017;Humanities and Social Sciences;Cantonal university;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172564;2017;Humanities and Social Sciences;University of applied sciences;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
